"L459","GMR_59F02_AV_01-20150403_43_A5","14B11","59F02","7,8A","1","Yes","Yes_TI_wk7","Yes-TI_wk15-16 (flycore)","No","Weak"
"L1478","GMR_65C07_AV_01-20150410_41_A5","64E06","65C07","4E","1","Maybe","","Yes_TI_wk26","Yes","Medium"
"L1197","GMR_48D05_AV_01-20150410_41_B1","30F11","48D05","4C","1","Maybe","Yes_TI_wk7","Yes-TI_wk8","Yes","Medium"
"L787","GMR_22B12_AV_01-20150410_41_B2","34C08","22B12","1A","1","No","Yes_TI_wk10","","No","Strong"
"L117","GMR_20A03_AV_01-20150410_41_C1","82F03","20A03","1A,1B","1","No","Yes_TI_wk7","Yes-TI_wk5","Yes","Medium"
"L795","GMR_25B07_AV_01-20150410_41_B3","11E08","25B07","3B","1","No","Yes_TI_wk7","","Yes","None"
"L849","GMR_28A10_XD_01-20150410_41_B4","11E08","28A10","","1","Maybe","Yes_TI_wk7","Yes-rd2","Yes","Medium"
"MB036B","GMR_MB036B-20130115_31_A1","38D01","77F05","3","1","20X Shiuan-Tze 2015","Yes_TI_wk7","Yes-TI_wk8","Yes","Weak"
"RD_1","RD_1-20130212_32_A1","","","","1","Maybe","Yes_TI_wk10","","Yes","Weak"
"L235","GMR_34E07_AV_01-20150410_41_B5","86A05","34E07","4A","1","20X Shiuan-Tze 2015","Yes_TI_wk10","Case4_Wk1","Yes","None"
"L68","GMR_14B11_XD_01-20150410_41_F1","47B03","14B11","7","1","Maybe","","Yes_TI_wk27","Yes","None"
"L196","GMR_31B01_AV_01-20150410_41_B6","79C09","31B01","116","1","","Yes_TI_wk7","Yes-TI_wk5","Yes","Medium"
"L458","GMR_59F02_AV_01-20150410_41_D1","13C04","59F02","8A","1","Yes","","Yes_TI_wk27","Yes","None"
"L436","GMR_55C05_AV_01-20150410_41_D2","79C09","55C05","116","1","No","","","No","Strong"
"L1506","GMR_65H10_AV_01-20150410_41_E3","41H07","65H10","70B,8A","2","Maybe","","","Yes","Medium"
"L1475","GMR_65C07_AV_01-20150410_41_E5","86A05","65C07","4A","1","20X Paavo 2015","Yes_TI-wk24","Case4_Wk1","Yes","None"
"L1467","GMR_65C07_AV_01-20150410_41_E6","65C07","76C08","1D,4A","1","Yes","Yes_TI_wk4","Yes-TI_wk5","No","Medium"
"L572","GMR_94F11_AV_01-20150313_45_A3","38D01","94F11","1A","1","No","","","Yes","Don't Care"
"L1196","GMR_48D05_AV_01-20150313_45_A6","10G01","48D05","4C,27","1","No","Yes_TI_wk7","Yes-TI_wk5","Yes","Don't Care"
"L1520","GMR_66A06_AV_01-20150313_45_B3","49H05","66A06","","1","Maybe","","Yes_TI_wk27","Yes","Needimage"
"L1111","GMR_41H07_AV_01-20150313_45_C6","20G10","41H07","70C","1","20X_PaavoMike_July_2016","","","Yes","None"
"L984","GMR_37E08_AV_01-20150313_45_D4","41H07","37E08","70C","1","Yes","Yes_TI_wk7","Yes-rd2","No","Needimage"
"L907","GMR_30A10_AV_01-20150313_45_E3","53A03","30A10","27","1","No","Yes_TI_wk7","Yes_TI_wk30","Yes","None"
"L1046","GMR_41G09_AV_01-20150508_43_E4","82F03","41G09","1A","1","No","Yes_TI_wk4","Yes-TI_wk5","Yes","Medium"
"L123","GMR_20G01_AV_01-20150508_43_C3","16C09","20G01","1D,1E","1","20X Shiuan-Tze 2015","","Yes-TI_wk1","Yes","Weak"
"L771","GMR_20G10_AV_01-20150508_43_C5","41H07","20G10","70C","1","Maybe","","Yes-TI_wk1","Yes","Medium"
